symbol,model,date,exit_date,entry,stop,exit,qty,value,cost,exit_reason,hold_days,r_multiple,pnl,pct
AUBANK,trend_lowbeta,2026-03-13,2026-05-20,879.7456486527045,809.3375573541006,960.7998630105845,123,108208.71478428265,270.52178696070666,stop,43,1.1512059603224492,9699.146579058537,0.08963369168919601
MUTHOOTFIN,trend_lowbeta,2026-02-19,2026-05-22,3371.7898673030686,2993.3739167492377,3296.699951171875,24,80922.95681527365,202.30739203818413,time,60,-0.19843221730293267,-2004.4653791868307,-0.02477004620286566
SCHNEIDER,trend_lowbeta,2026-05-22,2026-06-03,1328.0,1137.5225350999194,1122.300048828125,49,65072.0,162.68,stop,7,-1.0799175182207499,-10241.977607421875,-0.1573945415450866
ANURAS,trend_lowbeta,2026-03-06,2026-06-08,1205.0,1142.1346878138104,1302.0,141,169905.0,424.7625,time,60,1.5429812821530722,13252.2375,0.07799792531120331
NETWEB,trend_lowbeta,2026-05-22,2026-06-08,3877.9826236192616,3370.7914774043,4261.7733027410195,18,69803.68722514671,174.50921806286678,stop,10,0.7566983019831677,6733.723006128775,0.09646658040297558
ADANIPOWER,trend_lowbeta,2026-05-22,2026-06-10,221.0,199.01350161091597,220.48089566348548,427,94367.0,235.91750000000002,stop,12,-0.023610141429898805,-457.5750516916985,-0.004848888400518173
CHENNPETRO,trend_lowbeta,2026-03-13,2026-06-15,854.6637953501157,753.9759020647317,1160.013916015625,86,73501.08640010995,183.7527160002749,time,60,3.032639880546933,26076.357661233524,0.35477513242844416
CUB,trend_lowbeta,2026-03-13,2026-06-15,170.89893189948043,151.29254994956636,197.49972534179688,442,75537.32789957034,188.84331974892586,time,60,1.3567415706921406,11568.70738175494,0.15315219247808134
PFOCUS,trend_lowbeta,2026-05-15,2026-06-24,235.35000610351562,206.18556354333765,206.18556354333765,315,74135.25192260742,185.33812980651857,stop,27,-1.0,-9372.13753626258,-0.12641944679767875
NATIONALUM,trend_lowbeta,2026-06-08,2026-06-25,377.49059253076126,338.0120291719745,338.0120291719745,240,90597.7422073827,226.49435551845676,stop,13,-1.0,-9701.349561627276,-0.10708158200477455
POWERINDIA,trend_lowbeta,2026-06-15,2026-07-03,34791.692708333336,31110.09574887409,31863.923110923726,2,69583.38541666667,173.95846354166667,stop,13,-0.795244463109194,-6029.497658360886,-0.08665139849485816
NETWEB,trend_lowbeta,2026-06-08,2026-07-08,4337.296638620066,3605.2993306269327,4188.753828502706,12,52047.55966344079,130.11889915860198,stop,21,-0.20292808251523467,-1912.6326205669245,-0.0367477866961435
GALLANTT,trend_lowbeta,2026-05-22,2026-07-22,701.0,570.17899532528,574.0505812483607,71,49771.0,124.42750000000001,stop,41,-0.9704054717152859,-9137.836231366391,-0.18359760164285208
NLCINDIA,trend_lowbeta,2026-06-15,2026-07-24,317.8999938964844,282.12793870067065,282.12793870067065,275,87422.4983215332,218.556245803833,stop,28,-1.0,-10055.871424652607,-0.11502612734387764
ANANDRATHI,trend_lowbeta,2026-04-30,2026-07-28,1806.4561201475647,1681.462897990545,2037.9000244140625,71,128258.3845304771,320.6459613261927,time,60,1.8516516357643131,16111.871241595154,0.12562041304805777
ATHERENERG,trend_lowbeta,2026-05-15,2026-08-11,930.0,823.0949189865637,1525.4000244140625,86,79980.0,199.95000000000002,time,60,5.5694268108662675,51004.45209960938,0.637715080015121
GLENMARK,trend_lowbeta,2026-06-08,2026-09-01,2174.3366116341135,1976.8604078572387,2470.39990234375,48,104368.15735843746,260.92039339609363,time,60,1.4992352751734763,13950.117560666456,0.13366258362458944
CHENNPETRO,trend_lowbeta,2026-06-15,2026-09-08,1160.1097356301796,1032.644741442279,1457.800048828125,77,89328.44964352383,223.32112410880956,time,60,2.3354672009721327,22698.83299213299,0.2541053055629587
